Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
a0979322-33ef-46f2-9575-4fee48a6e758,2018-03-03 10:34:03,Running,,2.43,18:32,7:37,7.87,139.0,21,,"","",2018-03-03-103403.gpx
3ab788a5-77bc-4909-8812-36fc345d52f5,2018-03-02 06:46:05,Running,,3.17,30:27,9:36,6.24,187.0,25,,"","",2018-03-02-064605.gpx
896c12e0-894d-4124-b19a-4b9ca5afbbaf,2018-02-28 18:10:42,Running,,3.56,30:24,8:32,7.03,221.0,34,,"","",2018-02-28-181042.gpx
1bd1efe7-079c-4cd2-8c09-18947321d407,2018-02-24 10:16:07,Running,,3.81,33:36,8:49,6.80,225.0,44,,"","",2018-02-24-101607.gpx
183c8fa4-244e-4309-b3db-5317158f01a5,2018-02-22 06:35:12,Running,,3.44,32:45,9:32,6.29,199.0,31,,"","",2018-02-22-063512.gpx
7af6c5fa-ca39-4578-bb98-042429aaf7f7,2018-02-20 06:45:19,Running,,3.51,32:54,9:22,6.41,202.0,30,,"","",2018-02-20-064519.gpx
2a29f7c1-2a42-462a-82d9-9aba9d1b8bc6,2018-02-18 10:55:54,Running,,3.45,33:46,9:46,6.14,203.0,39,,"","",2018-02-18-105554.gpx
a44a2cd6-45f0-46b1-9e4a-34f6f5370d83,2018-01-07 10:48:17,Running,,3.18,31:17,9:50,6.10,179.0,25,,"","",2018-01-07-104817.gpx
98fa665b-cfd2-4b8d-afa1-9e41f95efb93,2018-01-01 10:27:09,Running,,4.30,40:02,9:19,6.44,221.0,27,,"","",2018-01-01-102709.gpx
4445a78b-a93a-4857-9d05-3441d450c896,2017-12-26 12:45:16,Running,,3.00,29:50,9:56,6.04,163.0,21,,"","",2017-12-26-124516.gpx
f94d4d8a-2e4f-4748-b487-919dcf5029a3,2017-12-09 13:12:03,Running,,3.27,30:52,9:27,6.35,170.0,27,,"","",2017-12-09-131203.gpx
790c8d01-5705-4a66-8f44-afba1d917746,2017-09-16 20:18:43,Running,,7.96,58:28,7:21,8.17,515.0,65,,"","",2017-09-16-201843.gpx
3242beb5-b7e3-40f0-8788-807043c2b3b7,2017-08-13 11:53:13,Running,,10.05,1:27:45,8:44,6.87,620.0,112,,"","",2017-08-13-115313.gpx
dca4f2e7-90bf-481a-9036-8af92d32733f,2017-07-29 09:44:21,Running,,11.00,1:33:55,8:32,7.03,671.0,104,,"","",2017-07-29-094421.gpx
46413d69-f9eb-434e-98fb-62b033d51917,2017-07-22 09:44:22,Running,,8.78,1:15:34,8:36,6.97,531.0,54,,"","",2017-07-22-094422.gpx
fd43e1a0-759e-4539-ad67-2e75b950379d,2017-07-11 06:17:20,Running,,4.02,31:14,7:46,7.73,256.0,21,,"","",2017-07-11-061720.gpx
703bbeff-73e3-4e7a-a4e9-849b8c9129f7,2017-07-08 09:49:25,Running,,8.60,1:13:11,8:31,7.05,533.0,67,,"","",2017-07-08-094925.gpx
0bce7bcf-e6ea-47d1-b108-7c95e1e7b42a,2017-07-05 06:13:51,Running,,4.15,30:59,7:28,8.03,263.0,21,,"","",2017-07-05-061351.gpx
720c6f08-1b3b-46dd-8212-5f3ad77bdcd5,2017-07-02 10:54:07,Running,,9.66,1:26:59,9:01,6.66,587.0,103,,"","Trail run",2017-07-02-105407.gpx
167dd4a8-e931-4848-afe0-8d2db5da213d,2017-06-24 09:49:39,Running,,9.37,1:19:21,8:28,7.08,579.0,83,,"","",2017-06-24-094939.gpx
8c908825-1377-4a44-b088-9cbd3988fe9e,2017-06-17 10:00:10,Running,,11.15,1:31:04,8:10,7.35,675.0,135,,"","",2017-06-17-100010.gpx
ed8ebb1c-094c-4545-8079-309d178f036b,2017-06-15 12:55:16,Running,,3.00,25:10,8:23,7.15,179.0,14,,"Eleonora Spagnuolo,","",2017-06-15-125516.gpx
d50747bb-ef7b-41d3-8941-da0f98a76e0e,2017-06-10 09:45:41,Running,,7.86,1:06:40,8:29,7.07,484.0,62,,"","",2017-06-10-094541.gpx
44609c04-39dd-4f2b-bb3f-e697e7c8c05a,2017-06-07 17:52:14,Running,,6.81,52:15,7:41,7.81,425.0,65,,"","",2017-06-07-175214.gpx
9bd5ca13-7fa5-47d6-9a0c-1f3de0c41ad9,2017-06-03 09:41:07,Running,,7.00,58:49,8:24,7.14,433.0,46,,"","",2017-06-03-094107.gpx
2aceba59-5302-4b0d-8f03-850b7d7658a6,2017-05-27 10:26:42,Running,,6.84,58:28,8:33,7.02,415.0,45,,"","",2017-05-27-102642.gpx
68d50ac7-81f8-45b6-8207-b79e29809cbd,2017-05-07 11:00:36,Running,,19.90,3:28:01,10:27,5.74,1277.0,555,,"","",2017-05-07-110036.gpx
142f347a-7361-4c44-b9d1-eb7199f7fc59,2017-04-29 10:09:24,Running,,10.14,1:22:07,8:06,7.41,619.0,109,,"","",2017-04-29-100924.gpx
6fea168a-c9da-4795-8000-a934bea1f9be,2017-04-27 09:46:16,Running,,2.98,32:56,11:02,5.44,186.0,18,,"","",2017-04-27-094616.gpx
3e908a61-3e9c-40b5-b1c3-b6523cea6aa4,2017-04-22 10:36:27,Running,,14.59,2:12:48,9:06,6.59,1064.0,222,149,"","TomTom MySports Watch",2017-04-22-103627.gpx
ed8cb143-824a-4049-913d-88f73c641acd,2017-04-22 10:36:00,Running,,16.00,2:26:52,9:11,6.54,990.0,157,,"","",2017-04-22-103600.gpx
825593e5-2377-4ce6-8efe-63a5d54601b5,2017-04-17 09:04:54,Running,,14.04,1:56:29,8:18,7.23,862.0,135,,"","",2017-04-17-090454.gpx
10709832-6ebd-4571-aef6-0fe5f515d56d,2017-03-26 12:25:41,Running,,21.67,2:53:06,7:59,7.51,1568.0,238,149,"","TomTom MySports Watch",2017-03-26-122541.gpx
a5e5ed82-d1ca-4ec5-992f-6234e6a350d2,2017-03-26 12:25:11,Running,,21.84,2:53:53,7:58,7.53,1310.0,20,,"","",2017-03-26-122511.gpx
26720d2d-7939-452f-80e2-98e10655280e,2017-03-26 12:23:15,Running,,0.03,0:56,32:47,1.83,2.0,0,,"","",2017-03-26-122315.gpx
d4d39525-6452-4fa5-a8be-44c8b7e5f80b,2017-03-18 08:35:54,Running,,10.08,1:32:15,9:09,6.56,547.0,15,,"","",2017-03-18-083554.gpx
9037bed9-63d0-4bed-9c37-1844a41f58ba,2017-03-11 09:44:29,Running,,18.03,2:30:38,8:21,7.18,1070.0,114,,"","",2017-03-11-094429.gpx
bc891e36-cf87-4d58-a4a4-ee807bb2f3cb,2017-03-04 09:42:32,Running,,10.07,1:18:40,7:49,7.68,706.0,126,135,"","TomTom MySports Watch",2017-03-04-094232.gpx
9e119db0-95e3-48f2-ad65-2426280e05c4,2017-03-04 09:42:17,Running,,10.06,1:19:12,7:52,7.62,614.0,72,,"","",2017-03-04-094217.gpx
f81e9498-7ea1-4c69-9d13-52ae233aea0f,2017-02-28 18:04:49,Running,,6.01,47:34,7:55,7.59,363.0,8,,"","",2017-02-28-180449.gpx
48a6ac39-e33b-49d8-ad0c-91d4146c7376,2017-02-25 09:44:41,Running,,16.59,2:15:09,8:09,7.36,1012.0,117,,"","",2017-02-25-094441.gpx
9a54da11-ebf9-4a1e-9517-2dc5deb058a8,2017-02-22 18:12:19,Running,,6.02,49:31,8:14,7.29,358.0,38,,"","",2017-02-22-181219.gpx
399453a6-bdc5-46bb-8b33-08ec9e20dd41,2017-02-20 17:52:15,Running,,6.02,47:19,7:52,7.63,372.0,41,,"","",2017-02-20-175215.gpx
710d84d4-12aa-4136-9809-f4abf68b1603,2017-02-18 09:44:36,Running,,13.79,1:58:12,8:34,7.00,946.0,206,146,"","TomTom MySports Watch",2017-02-18-094436.gpx
f0b1b015-0f01-408a-b676-283920d55ed8,2017-02-18 09:43:13,Running,,12.84,1:49:26,8:32,7.04,756.0,11,,"","",2017-02-18-094313.gpx
4b97f607-644d-4c5e-a2bf-30823011e83a,2017-01-28 09:46:06,Running,,15.33,2:10:56,8:33,7.02,1085.0,230,147,"","TomTom MySports Watch",2017-01-28-094606.gpx
0645876b-427f-40c5-89bc-543457ce4fc1,2017-01-28 09:45:52,Running,,15.00,2:04:57,8:20,7.20,908.0,105,,"","",2017-01-28-094552.gpx
f51e5822-a435-4c8a-9f9a-dc8b34586e5d,2017-01-21 09:47:51,Running,,14.00,1:51:46,7:59,7.52,855.0,80,,"","",2017-01-21-094751.gpx
fa3b9875-9133-4afc-a164-3f3b70ca8894,2017-01-14 08:45:29,Running,,13.06,1:42:30,7:51,7.64,937.0,192,151,"","TomTom MySports Watch",2017-01-14-084529.gpx
314bedd0-8ba8-4ecf-a2ea-2c10bc7e0cd8,2017-01-08 10:46:16,Running,,10.88,1:27:18,8:01,7.48,667.0,86,,"","",2017-01-08-104616.gpx
