,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk
102.75,-0.16999999999999998,-0.9986666666666667,-0.008666666666666665,0.0026666666666666666,0.0026666666666666666,-0.007333333333333332,-0.015333333333333336,-0.08,-0.014000000000000002,1008.7299999999998,-13.319999999999999,53.32799999999999,-26.363999999999994,119.37933333333336,99.82066666666664,-9.812000000000003,77.03999999999999,0,0,0,1,0
102.80000000000001,-0.17,-0.9916666666666667,-0.0016666666666666668,0.0,-0.006666666666666667,-0.009999999999999998,-0.02,-0.08999999999999998,-0.009166666666666668,1008.7274999999998,-13.575000000000001,53.595000000000006,-25.650000000000002,119.41583333333335,99.79583333333333,-9.785833333333334,77.03999999999999,0,0,0,1,0
102.85000000000001,-0.16999999999999998,-0.9900000000000001,-0.005384615384615385,0.0,-0.0023076923076923075,-0.009999999999999998,-0.0276923076923077,-0.06846153846153846,0.03307692307692307,1008.7199999999998,-13.260000000000002,53.423076923076934,-25.407692307692308,119.47153846153846,99.77153846153846,-9.761538461538462,77.03999999999999,0,0,0,1,0
102.9,-0.1657142857142857,-0.9900000000000001,-0.009999999999999998,0.002857142857142857,0.001428571428571427,-0.009999999999999998,-0.02071428571428572,-0.03357142857142858,0.009999999999999998,1008.7199999999997,-12.882857142857146,53.12142857142857,-25.54714285714286,119.5685714285714,99.74142857142859,-9.731428571428571,77.03999999999999,0,0,0,1,0
102.95,-0.15999999999999998,-0.99,-0.009999999999999998,0.009999999999999998,-0.019999999999999997,-0.009999999999999998,0.040999999999999995,-0.07999999999999999,0.009999999999999998,1008.7199999999999,-12.960000000000003,53.15999999999999,-25.74,119.58999999999999,99.718,-9.712,77.03999999999999,0,0,0,1,0
103.0,-0.17,-1.0,-0.01,0.01,-0.01125,-0.01,0.015625,-0.095,-0.005,1008.72,-13.24125,53.4975,-25.965000000000003,119.6275,99.690625,-9.68375,77.93375,0,0,0,1,0
103.05000000000001,-0.16999999999999998,-1.0,-0.009999999999999998,0.009999999999999998,-0.009999999999999998,-0.009999999999999998,-0.031818181818181815,-0.09363636363636364,-0.05272727272727273,1008.7199999999998,-12.987272727272728,53.24727272727273,-25.216363636363635,119.69000000000001,99.6590909090909,-9.652727272727274,78.34000000000002,0,0,0,1,0
103.10000000000001,-0.16999999999999998,-1.0,-0.002857142857142857,-0.0014285714285714288,0.0014285714285714288,-0.004285714285714286,-0.03285714285714286,-0.0985714285714286,-0.03285714285714285,1008.720714285714,-13.19142857142857,53.451428571428586,-25.602857142857147,119.76142857142857,99.63500000000002,-9.627857142857144,78.34000000000002,0,0,0,1,0
103.15,-0.16999999999999998,-1.0,0.0,-0.0023076923076923075,-0.005384615384615384,0.0,-0.003076923076923075,-0.10538461538461541,0.0276923076923077,1008.7299999999998,-13.070769230769232,53.27538461538461,-25.61076923076923,119.8053846153846,99.61692307692306,-9.609999999999998,78.34000000000002,0,0,0,1,0
103.2,-0.16999999999999998,-1.0,0.0,0.011,-0.030000000000000006,0.0,0.011,-0.08299999999999999,0.013000000000000001,1008.7299999999999,-12.947999999999999,52.956,-25.440000000000005,119.78799999999998,99.59400000000001,-9.588,78.34,0,0,0,1,0
