,Unnamed: 0,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,Gain_mixture
857,42.85,-0.0435294117647,-1.01294117647,-0.644117647059,-1.15647058824,-0.808823529412,-0.602941176471,-0.0876470588235,-4.92352941176,-7.31647058824,1008.5,-0.331764705882,37.0482352941,-8.50235294118,161.953529412,107.307058824,-3.01941176471,91.21,0,0,0,0,1,0.000779685482697
858,42.9,-0.0876923076923,-0.719230769231,-0.396153846154,-0.135384615385,-1.13461538462,-0.323076923077,0.05,2.58846153846,0.201538461538,1008.56769231,-2.88923076923,37.1676923077,-5.95846153846,158.242307692,111.818461538,-3.25538461538,91.21,0,0,0,0,1,0.000779685482697
859,42.95,-0.219230769231,-1.21615384615,-0.0938461538462,0.603846153846,-0.471538461538,-0.143846153846,-1.50153846154,-4.50461538462,-0.239230769231,1008.61,-3.9,36.8907692308,-5.23846153846,157.323846154,110.562307692,-3.25538461538,88.6992307692,0,0,0,0,1,0.00144156641499
860,43.0,-0.622857142857,0.625714285714,0.834285714286,0.75,2.19,-0.09,-3.71714285714,13.1578571429,10.5971428571,1008.61,-4.18285714286,36.5614285714,-5.45571428571,158.395,108.148571429,-3.92285714286,88.49,0,0,0,0,1,0.0014849409268
861,43.05,0.417333333333,-1.33866666667,0.526,3.74,2.91,-0.54,1.75533333333,0.698666666667,7.25666666667,1008.61,-2.4,36.06,-6.18,160.858,100.278666667,-4.064,88.49,0,0,0,0,1,0.0014849409268
862,43.1,-0.177777777778,-0.71,-0.0583333333333,2.165,0.343333333333,0.276666666667,2.82666666667,-0.995,2.81555555556,1008.66,-2.34,35.46,-12.96,164.913333333,92.5572222222,-3.28833333333,88.49,0,0,0,0,1,0.0014849409268
863,43.15,-0.0776923076923,-0.930769230769,0.0653846153846,1.61153846154,0.637692307692,0.678461538462,-1.22615384615,2.58923076923,-0.923076923077,1008.71,-1.56,32.88,-17.52,164.858461538,83.6546153846,-5.12692307692,88.49,0,0,0,0,1,0.0014849409268
864,43.2,-0.060625,-1.030625,0.02125,1.50875,0.91125,0.5625,0.818125,-0.385625,-0.796875,1008.625625,0.13125,32.055,-19.665,165.9,79.45125,-7.15875,88.49,0,0,0,0,1,0.0014849409268
865,43.25,-0.014,-1.01066666667,-0.0573333333333,1.62533333333,0.757333333333,0.543333333333,1.34466666667,-0.569333333333,-2.62533333333,1008.56,2.084,30.368,-21.792,167.268666667,75.798,-8.71866666667,90.5,0,0,0,0,1,0.000975295343719
866,43.3,-0.0254545454545,-0.992727272727,-0.0436363636364,1.78,0.56,0.65,1.18545454545,-0.151818181818,-2.33090909091,1008.56,3.12,29.22,-22.8,166.980909091,72.3418181818,-10.2390909091,90.5,0,0,0,0,1,0.000975295343719
