,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_baseline,label_jump,label_run,label_stand,label_walk,cluster
<<<<<<< Updated upstream
1970-01-01 00:00:00.000000059,-0.0390410958904,-1.15109589041,-0.241917808219,0.936712328767,0.748082191781,0.921917808219,-0.183424657534,-4.72835616438,-2.74109589041,1008.68671233,27.7536986301,15.3049315068,7.5904109589,282.807123288,101.690547945,-6.07219178082,88.08,0,0,0,0,1,3
1970-01-01 00:00:00.000000059,0.0422222222222,-0.0955555555556,-0.147916666667,-0.551111111111,0.744861111111,-0.172916666667,0.964722222222,9.24833333333,2.25777777778,1008.80777778,25.2141666667,14.905,13.8975,294.744305556,106.715555556,-3.95180555556,90.4813888889,0,0,0,0,1,2
1970-01-01 00:00:00.000000060,0.0602739726027,-2.22342465753,-0.605342465753,0.855753424658,1.28383561644,0.355753424658,0.0790410958904,-12.6138356164,-2.40671232877,1008.67438356,22.6717808219,11.4673972603,18.4989041096,311.930547945,112.082739726,0.936849315068,96.2006849315,0,1,0,0,0,4
1970-01-01 00:00:00.000000060,0.0319444444444,0.0148611111111,-0.0145833333333,-0.0473611111111,0.426388888889,0.15125,1.13027777778,9.44763888889,2.55847222222,1008.76638889,21.0558333333,14.6066666667,18.9141666667,306.059166667,105.718333333,-3.92916666667,95.2333333333,0,1,0,0,0,2
1970-01-01 00:00:00.000000060,0.00194444444444,-1.835,-0.262222222222,-0.334861111111,1.04472222222,-0.113888888889,0.641388888889,-7.20847222222,1.85861111111,1008.75,19.8091666667,9.89583333333,22.6091666667,313.556805556,111.28,-1.835,92.0769444444,0,1,0,0,0,4
1970-01-01 00:00:00.000000060,-0.0567948717949,-0.364615384615,-0.0934615384615,0.335256410256,0.164615384615,0.258717948718,-0.500897435897,4.05474358974,1.32064102564,1008.75064103,16.0630769231,12.3707692308,25.5307692308,317.178846154,105.440512821,-2.75025641026,89.6816666667,0,1,0,0,0,2
1970-01-01 00:00:00.000000061,-0.0321917808219,-0.902602739726,-0.50301369863,-0.899589041096,-0.0321917808219,-0.163150684932,0.143150684932,0.450547945205,-2.59863013699,1008.77520548,15.2276712329,11.4123287671,27.1052054795,322.414931507,110.053424658,-1.1702739726,85.94,0,1,0,0,0,3
1970-01-01 00:00:00.000000061,0.00555555555556,-1.39513888889,-0.395,0.912222222222,0.165833333333,0.285277777778,-0.0544444444444,-4.38555555556,-0.387638888889,1008.69,12.83,8.47,28.7391666667,329.847916667,108.833472222,-0.279861111111,85.8233333333,0,1,0,0,0,5
1970-01-01 00:00:00.000000061,0.00263888888889,-0.0819444444444,-0.0968055555556,-0.392222222222,0.421666666667,0.0848611111111,-0.0676388888889,8.82875,1.95791666667,1008.69416667,10.5525,12.4283333333,29.1066666667,334.962361111,106.662638889,-0.680694444444,90.5975,0,1,0,0,0,2
1970-01-01 00:00:00.000000061,-0.0086301369863,-2.04767123288,-0.552739726027,0.319178082192,0.183698630137,-0.0686301369863,-0.539726027397,-10.8723287671,-1.59917808219,1008.62575342,7.15561643836,5.80931506849,31.5846575342,346.485068493,111.747534247,1.7498630137,91.8961643836,0,1,0,0,0,4
1970-01-01 00:00:00.000000062,-0.0217567567568,0.0508108108108,-0.100405405405,-0.0228378378378,-0.220945945946,-0.0308108108108,-0.427702702703,9.22878378378,1.86986486486,1008.67189189,5.76405405405,11.2281081081,31.127027027,347.776081081,107.113378378,1.48378378378,91.6264864865,0,1,0,0,0,2
1970-01-01 00:00:00.000000062,-0.121578947368,-1.85105263158,-0.572105263158,0.0843421052632,0.147105263158,-0.0725,-1.56118421053,-8.74460526316,-2.11539473684,1008.60434211,6.66473684211,5.77815789474,31.7044736842,347.907236842,112.308684211,1.80118421053,91.2946052632,0,1,0,0,0,4
1970-01-01 00:00:00.000000062,0.0353424657534,-0.0443835616438,-0.0705479452055,0.0443835616438,-0.199315068493,0.0458904109589,0.381369863014,8.50273972603,1.96835616438,1008.65273973,6.98136986301,12.0238356164,30.282739726,344.111917808,105.981506849,0.280136986301,89.49,0,1,0,0,0,2
1970-01-01 00:00:00.000000062,-0.128333333333,-1.57222222222,-0.362777777778,-0.179722222222,0.015,-0.171805555556,-1.78430555556,-4.58305555556,0.0958333333333,1008.70388889,7.8825,8.04666666667,30.3891666667,346.24625,111.327777778,2.06569444444,84.6922222222,0,1,0,0,0,4
1970-01-01 00:00:00.000000063,0.00397260273973,-0.528767123288,-0.190821917808,0.524931506849,-0.251780821918,-0.057397260274,-0.104383561644,3.1702739726,-0.0227397260274,1008.72671233,8.87671232877,11.9334246575,28.9980821918,341.015342466,103.884657534,0.746301369863,84.9147945205,0,1,0,0,0,2
1970-01-01 00:00:00.000000063,0.0498611111111,-1.14486111111,-0.493888888889,-0.607361111111,-0.0738888888889,-0.263611111111,0.0123611111111,0.292916666667,-0.541388888889,1008.67444444,9.19083333333,11.0308333333,29.635,342.313055556,109.193333333,2.47541666667,85.0475,0,1,0,0,0,3
1970-01-01 00:00:00.000000063,-0.104109589041,-1.15219178082,-0.264657534247,0.934520547945,0.16698630137,0.356438356164,-0.963150684932,-3.8201369863,-0.467534246575,1008.72356164,8.55698630137,9.23753424658,30.2810958904,342.587945205,106.407534247,1.31602739726,86.5816438356,0,1,0,0,0,3
1970-01-01 00:00:00.000000063,-0.0133766233766,-0.394675324675,-0.266103896104,-0.909220779221,0.518441558442,-0.104545454545,-0.526233766234,6.43974025974,0.922597402597,1008.81675325,7.54051948052,11.647012987,29.227012987,346.094935065,108.757012987,1.62909090909,89.2938961039,0,1,0,0,0,2
1970-01-01 00:00:00.000000064,0.0875342465753,-1.82095890411,-0.612328767123,0.664109589041,0.26,0.286849315068,0.260547945205,-11.5017808219,-2.65465753425,1008.75958904,5.47890410959,4.36191780822,31.9701369863,353.935753425,114.980136986,3.89150684932,86.95,0,1,0,0,0,4
1970-01-01 00:00:00.000000064,-0.0297222222222,-0.0206944444444,-0.0715277777778,-0.0440277777778,-0.0141666666667,0.0105555555556,-0.493888888889,9.33430555556,1.94347222222,1008.75,5.39166666667,12.7841666667,30.4458333333,348.333333333,105.620694444,0.9725,87.4652777778,0,1,0,0,0,2
1970-01-01 00:00:00.000000064,0.00802816901408,-2.06478873239,-0.611408450704,-0.353943661972,0.494225352113,-0.100563380282,0.0533802816901,-10.4181690141,-1.44042253521,1008.73408451,5.26478873239,5.41183098592,32.3138028169,353.132535211,114.945492958,2.94718309859,85.5242253521,0,1,0,0,0,4
1970-01-01 00:00:00.000000064,0.0122972972973,-0.381621621622,-0.174594594595,0.534459459459,-0.261621621622,0.0748648648649,-0.438513513514,3.98324324324,0.521891891892,1008.71945946,4.86243243243,10.9508108108,30.8448648649,350.935540541,106.273108108,1.61743243243,87.2843243243,0,1,0,0,0,2
1970-01-01 00:00:00.000000065,-0.0211111111111,-1.01319444444,-0.285,-0.800833333333,0.150277777778,-0.229305555556,-0.934861111111,1.18152777778,0.674166666667,1008.68666667,6.06833333333,10.1308333333,31.06,350.608472222,111.254861111,2.87722222222,88.4281944444,0,1,0,0,0,3
1970-01-01 00:00:00.000000065,-0.0180769230769,-1.13102564103,-0.357820512821,0.826923076923,-0.166153846154,0.197307692308,-0.0703846153846,-3.29564102564,-0.139615384615,1008.73615385,6.59461538462,8.43692307692,30.8761538462,348.636923077,109.077948718,1.81371794872,86.0311538462,0,1,0,0,0,3
1970-01-01 00:00:00.000000065,-0.00630136986301,-0.467671232877,-0.265068493151,-0.760547945205,-0.188767123288,-0.0904109589041,-0.504931506849,6.55506849315,1.18164383562,1008.71794521,6.99863013699,11.2191780822,30.6353424658,345.55109589,109.625068493,1.03,84.82,0,1,0,0,0,2
1970-01-01 00:00:00.000000065,0.0197222222222,-1.78555555556,-0.548333333333,0.559305555556,-0.0606944444444,0.218055555556,-0.0541666666667,-9.76458333333,-1.84361111111,1008.70666667,6.8175,4.71166666667,32.4091666667,345.903194444,114.093194444,0.765138888889,84.2344444444,0,1,0,0,0,4
1970-01-01 00:00:00.000000066,-0.016301369863,-0.0115068493151,-0.0698630136986,-0.132602739726,0.00602739726027,-0.11,-0.066301369863,9.55205479452,2.27890410959,1008.77232877,5.55616438356,12.2942465753,31.298630137,347.873424658,107.517260274,1.18534246575,84.2653424658,0,1,0,0,0,2
1970-01-01 00:00:00.000000066,-0.0772222222222,-2.14666666667,-0.659444444444,-0.254583333333,0.349027777778,-0.0875,-0.700694444444,-10.55375,-1.99375,1008.66916667,6.67666666667,5.8725,30.3325,349.494583333,114.344027778,1.79916666667,85.3588888889,0,1,0,0,0,4
1970-01-01 00:00:00.000000066,-0.0431944444444,-0.0920833333333,-0.120277777778,0.259583333333,-0.117916666667,0.07875,-0.298055555556,6.93916666667,1.11652777778,1008.72027778,7.99333333333,12.01,27.7233333333,342.165694444,105.600833333,-0.478888888889,86.8608333333,0,1,0,0,0,2
1970-01-01 00:00:00.000000066,-0.0765384615385,-1.36935897436,-0.478846153846,-0.647692307692,-0.34141025641,-0.064358974359,-1.14538461538,-3.22294871795,-0.378461538462,1008.70461538,8.63384615385,7.28538461538,28.6046153846,341.709230769,113.728205128,-0.281923076923,88.3188461538,0,1,0,0,0,3
1970-01-01 00:00:00.000000067,0.000958904109589,-0.661369863014,-0.30301369863,0.812328767123,-0.366849315068,0.00904109589041,0.400821917808,0.99904109589,-0.649726027397,1008.65068493,9.14547945205,9.98794520548,27.8515068493,336.910410959,106.850273973,-1.19657534247,89.0,0,1,0,0,0,2
1970-01-01 00:00:00.000000067,0.0995833333333,-0.727638888889,-0.274722222222,-0.873472222222,-0.00291666666667,-0.109444444444,0.603472222222,4.24277777778,0.993194444444,1008.63694444,10.5541666667,11.1716666667,26.85,334.173888889,110.237777778,-0.824027777778,89.9075,0,1,0,0,0,3
