,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_bike,label_stairs,label_stand,label_walk
365.5,-0.10566666666666667,-0.9963333333333332,-0.05733333333333335,0.036000000000000004,-0.013333333333333336,0.022333333333333337,-0.007000000000000005,-0.027666666666666676,0.05466666666666665,1014.0753333333338,-5.92,33.14799999999999,15.460000000000003,23.872333333333344,96.86766666666671,-6.016333333333332,81.16866666666668,0,0,1,0
365.75,-0.10800000000000001,-0.9976666666666669,-0.05633333333333334,0.053666666666666675,-0.002,0.022666666666666665,0.08833333333333332,-0.016,-0.08133333333333334,1014.0800000000004,-5.958,33.168,15.618000000000002,23.485999999999994,96.90133333333334,-6.323333333333332,82.37000000000003,0,0,1,0
366.0,-0.1190322580645161,-0.998064516129032,-0.050322580645161305,0.012580645161290326,-0.04580645161290324,0.008064516129032258,-0.043225806451612885,-0.0503225806451613,-0.0948387096774194,1014.0854838709678,-6.2070967741935466,33.44129032258064,15.578709677419361,23.232580645161296,97.06483870967742,-6.564838709677418,83.72774193548383,0,0,1,0
366.25,-0.12066666666666667,-1.0023333333333335,-0.022666666666666672,0.06566666666666669,-0.07600000000000001,0.011333333333333336,-0.05833333333333333,-0.057,0.09399999999999999,1014.0973333333334,-5.465999999999997,33.79200000000001,14.966000000000001,21.612000000000002,96.91533333333335,-6.691333333333335,81.90999999999998,0,0,1,0
366.5,-0.11870967741935483,-0.9974193548387096,-0.016774193548387096,-0.013225806451612901,0.054516129032258075,0.02741935483870968,-0.009354838709677418,-0.0635483870967742,0.04645161290322582,1014.0977419354836,-5.082580645161291,33.64451612903226,14.61483870967742,20.893548387096775,97.09290322580648,-6.955161290322582,79.25,0,0,1,0
366.75,-0.12100000000000001,-1.000333333333333,-0.027333333333333334,-0.03333333333333334,-0.11233333333333331,0.007666666666666667,0.047333333333333304,-0.08800000000000004,-0.018000000000000002,1014.0989999999999,-5.096000000000002,33.82600000000001,14.548,20.802666666666656,97.15866666666668,-7.009,78.95100000000002,0,0,1,0
367.0,-0.12200000000000001,-0.9949999999999999,-0.02633333333333334,-0.011666666666666667,-0.16866666666666671,0.023666666666666673,0.042333333333333334,-0.041666666666666664,0.022,1014.09,-4.026000000000002,33.98199999999999,15.184000000000003,17.622333333333337,97.54266666666666,-7.391333333333334,78.41000000000001,0,0,1,0
367.25,-0.1419354838709678,-0.9951612903225805,-0.02419354838709678,-0.0232258064516129,-0.1535483870967742,0.004838709677419356,-0.06709677419354838,-0.038064516129032264,-0.0006451612903225822,1014.0983870967738,-3.394838709677421,33.640645161290315,16.221290322580643,13.815806451612898,97.6277419354839,-7.483548387096771,78.32645161290326,0,0,1,0
367.5,-0.14833333333333334,-0.9916666666666665,-0.019333333333333334,0.019333333333333338,-0.043333333333333335,0.0,-0.10999999999999996,0.005333333333333333,0.013999999999999993,1014.0939999999999,-2.927999999999999,33.59399999999999,15.789999999999997,11.61433333333333,97.90766666666663,-7.793666666666665,79.24933333333333,0,0,1,0
367.75,-0.14354838709677417,-0.9983870967741935,-0.02290322580645162,-0.0012903225806451617,0.10161290322580642,-0.0022580645161290325,-0.07064516129032256,-0.06096774193548389,-0.04451612903225806,1014.0783870967742,-3.129677419354837,34.09161290322581,15.629032258064514,12.075161290322585,98.06709677419357,-7.974193548387096,78.8616129032258,0,0,1,0
